scenario,algorithm,run,n,comps,assigns,time_ms
Random,Quick1,0,100,630,1214,0
Random,Quick2,0,100,623,1256,0
Random,Bucket,0,100,46,299,0
Random,Radix2,0,100,0,4200,0
Random,Radix4,0,100,0,2200,0
Random,Radix8,0,100,0,1600,0
Random,Radix10,0,100,0,1400,0
Random,Radix16,0,100,0,1200,0
Random,Quick1,0,200,1504,3060,0
Random,Quick2,0,200,1407,2743,0
Random,Bucket,0,200,163,720,0
Random,Radix2,0,200,0,8400,0
Random,Radix4,0,200,0,4400,0
Random,Radix8,0,200,0,3200,0
Random,Radix10,0,200,0,2800,0
Random,Radix16,0,200,0,2400,0
Random,Quick1,0,500,4763,8553,0
Random,Quick2,0,500,4533,7859,0
Random,Bucket,0,500,890,2414,0
Random,Radix2,0,500,0,21000,0
Random,Radix4,0,500,0,11000,0
Random,Radix8,0,500,0,8000,0
Random,Radix10,0,500,0,7000,0
Random,Radix16,0,500,0,6000,0
Random,Quick1,0,1000,11153,20606,0
Random,Quick2,0,1000,10979,18369,0
Random,Bucket,0,1000,3215,6300,0
Random,Radix2,0,1000,0,42000,0
Random,Radix4,0,1000,0,22000,0
Random,Radix8,0,1000,0,16000,0
Random,Radix10,0,1000,0,14000,0
Random,Radix16,0,1000,0,12000,0
Random,Quick1,0,2000,25127,40045,0
Random,Quick2,0,2000,23864,33906,0
Random,Bucket,0,2000,11593,17726,0
Random,Radix2,0,2000,0,84000,1
Random,Radix4,0,2000,0,44000,0
Random,Radix8,0,2000,0,32000,0
Random,Radix10,0,2000,0,28000,0
Random,Radix16,0,2000,0,24000,0
Random,Quick1,0,5000,83971,134896,0
Random,Quick2,0,5000,74881,97426,0
Random,Bucket,0,5000,67772,83003,0
Random,Radix2,0,5000,0,210000,4
Random,Radix4,0,5000,0,110000,2
Random,Radix8,0,5000,0,80000,1
Random,Radix10,0,5000,0,70000,1
Random,Radix16,0,5000,0,60000,1
NearlySorted,Quick1,0,100,1992,5813,0
NearlySorted,Quick2,0,100,2925,1173,0
NearlySorted,Bucket,0,100,43,286,0
NearlySorted,Radix2,0,100,0,4200,0
NearlySorted,Radix4,0,100,0,2200,0
NearlySorted,Radix8,0,100,0,1600,0
NearlySorted,Radix10,0,100,0,1400,0
NearlySorted,Radix16,0,100,0,1200,0
NearlySorted,Quick1,0,200,6719,9426,0
NearlySorted,Quick2,0,200,5537,4505,0
NearlySorted,Bucket,0,200,134,659,0
NearlySorted,Radix2,0,200,0,8400,0
NearlySorted,Radix4,0,200,0,4400,0
NearlySorted,Radix8,0,200,0,3200,0
NearlySorted,Radix10,0,200,0,2800,0
NearlySorted,Radix16,0,200,0,2400,0
NearlySorted,Quick1,0,500,19706,37662,0
NearlySorted,Quick2,0,500,17596,13523,0
NearlySorted,Bucket,0,500,489,1908,0
NearlySorted,Radix2,0,500,0,21000,0
NearlySorted,Radix4,0,500,0,11000,0
NearlySorted,Radix8,0,500,0,8000,0
NearlySorted,Radix10,0,500,0,7000,0
NearlySorted,Radix16,0,500,0,6000,0
NearlySorted,Quick1,0,1000,39106,88213,0
NearlySorted,Quick2,0,1000,38198,24935,0
NearlySorted,Bucket,0,1000,1292,4231,0
NearlySorted,Radix2,0,1000,0,42000,0
NearlySorted,Radix4,0,1000,0,22000,0
NearlySorted,Radix8,0,1000,0,16000,0
NearlySorted,Radix10,0,1000,0,14000,0
NearlySorted,Radix16,0,1000,0,12000,0
NearlySorted,Quick1,0,2000,139752,277999,0
NearlySorted,Quick2,0,2000,120657,61277,0
NearlySorted,Bucket,0,2000,3567,9530,0
NearlySorted,Radix2,0,2000,0,84000,1
NearlySorted,Radix4,0,2000,0,44000,0
NearlySorted,Radix8,0,2000,0,32000,0
NearlySorted,Radix10,0,2000,0,28000,0
NearlySorted,Radix16,0,2000,0,24000,0
NearlySorted,Quick1,0,5000,199132,402572,0
NearlySorted,Quick2,0,5000,233696,292052,0
NearlySorted,Bucket,0,5000,15992,31023,0
NearlySorted,Radix2,0,5000,0,210000,4
NearlySorted,Radix4,0,5000,0,110000,2
NearlySorted,Radix8,0,5000,0,80000,1
NearlySorted,Radix10,0,5000,0,70000,1
NearlySorted,Radix16,0,5000,0,60000,1
Reverse,Quick1,0,100,4950,7746,0
Reverse,Quick2,0,100,4950,550,0
Reverse,Bucket,0,100,52,328,0
Reverse,Radix2,0,100,0,4200,0
Reverse,Radix4,0,100,0,2200,0
Reverse,Radix8,0,100,0,1600,0
Reverse,Radix10,0,100,0,1400,0
Reverse,Radix16,0,100,0,1200,0
Reverse,Quick1,0,200,19900,30496,0
Reverse,Quick2,0,200,19900,1100,0
Reverse,Bucket,0,200,190,820,0
Reverse,Radix2,0,200,0,8400,0
Reverse,Radix4,0,200,0,4400,0
Reverse,Radix8,0,200,0,3200,0
Reverse,Radix10,0,200,0,2800,0
Reverse,Radix16,0,200,0,2400,0
Reverse,Quick1,0,500,124750,188746,0
Reverse,Quick2,0,500,124750,2750,0
Reverse,Bucket,0,500,1300,3104,0
Reverse,Radix2,0,500,0,21000,0
Reverse,Radix4,0,500,0,11000,0
Reverse,Radix8,0,500,0,8000,0
Reverse,Radix10,0,500,0,7000,0
Reverse,Radix16,0,500,0,6000,0
Reverse,Quick1,0,1000,499500,752496,0
Reverse,Quick2,0,1000,499500,5500,1
Reverse,Bucket,0,1000,5021,8821,0
Reverse,Radix2,0,1000,0,42000,0
Reverse,Radix4,0,1000,0,22000,0
Reverse,Radix8,0,1000,0,16000,0
Reverse,Radix10,0,1000,0,14000,0
Reverse,Radix16,0,1000,0,12000,0
Reverse,Quick1,0,2000,1995016,2999004,5
Reverse,Quick2,0,2000,1999000,11000,4
Reverse,Bucket,0,2000,20016,27814,0
Reverse,Radix2,0,2000,0,84000,1
Reverse,Radix4,0,2000,0,44000,0
Reverse,Radix8,0,2000,0,32000,0
Reverse,Radix10,0,2000,0,28000,0
Reverse,Radix16,0,2000,0,24000,0
Reverse,Quick1,0,5000,12490930,18752617,20
Reverse,Quick2,0,5000,12497500,27500,30
Reverse,Bucket,0,5000,125038,144831,0
Reverse,Radix2,0,5000,0,210000,3
Reverse,Radix4,0,5000,0,110000,2
Reverse,Radix8,0,5000,0,80000,1
Reverse,Radix10,0,5000,0,70000,1
Reverse,Radix16,0,5000,0,60000,1
ManyDuplicates,Quick1,0,100,606,1290,0
ManyDuplicates,Quick2,0,100,635,1014,0
ManyDuplicates,Bucket,0,100,40,279,0
ManyDuplicates,Radix2,0,100,0,1600,0
ManyDuplicates,Radix4,0,100,0,1000,0
ManyDuplicates,Radix8,0,100,0,800,0
ManyDuplicates,Radix10,0,100,0,696,0
ManyDuplicates,Radix16,0,100,0,600,0
ManyDuplicates,Quick1,0,200,1560,2912,0
ManyDuplicates,Quick2,0,200,1663,2067,0
ManyDuplicates,Bucket,0,200,143,672,0
ManyDuplicates,Radix2,0,200,0,3200,0
ManyDuplicates,Radix4,0,200,0,2000,0
ManyDuplicates,Radix8,0,200,0,1600,0
ManyDuplicates,Radix10,0,200,0,1600,0
ManyDuplicates,Radix16,0,200,0,1200,0
ManyDuplicates,Quick1,0,500,4932,9501,0
ManyDuplicates,Quick2,0,500,5149,7268,0
ManyDuplicates,Bucket,0,500,655,2105,0
ManyDuplicates,Radix2,0,500,0,8000,0
ManyDuplicates,Radix4,0,500,0,5000,0
ManyDuplicates,Radix8,0,500,0,4000,0
ManyDuplicates,Radix10,0,500,0,4000,0
ManyDuplicates,Radix16,0,500,0,3000,0
ManyDuplicates,Quick1,0,1000,12479,26740,0
ManyDuplicates,Quick2,0,1000,13687,14134,0
ManyDuplicates,Bucket,0,1000,2102,5057,0
ManyDuplicates,Radix2,0,1000,0,16000,0
ManyDuplicates,Radix4,0,1000,0,10000,0
ManyDuplicates,Radix8,0,1000,0,8000,0
ManyDuplicates,Radix10,0,1000,0,8000,0
ManyDuplicates,Radix16,0,1000,0,6000,0
ManyDuplicates,Quick1,0,2000,28539,67157,0
ManyDuplicates,Quick2,0,2000,30812,28436,0
ManyDuplicates,Bucket,0,2000,7098,13058,0
ManyDuplicates,Radix2,0,2000,0,32000,0
ManyDuplicates,Radix4,0,2000,0,20000,0
ManyDuplicates,Radix8,0,2000,0,16000,0
ManyDuplicates,Radix10,0,2000,0,16000,0
ManyDuplicates,Radix16,0,2000,0,12000,0
ManyDuplicates,Quick1,0,5000,106231,273743,0
ManyDuplicates,Quick2,0,5000,112127,76622,0
ManyDuplicates,Bucket,0,5000,36778,51728,0
ManyDuplicates,Radix2,0,5000,0,80000,1
ManyDuplicates,Radix4,0,5000,0,50000,0
ManyDuplicates,Radix8,0,5000,0,40000,0
ManyDuplicates,Radix10,0,5000,0,40000,0
ManyDuplicates,Radix16,0,5000,0,30000,0
