n;naive_avg_ms;memo_avg_ms;iter_avg_ms;naive_val;memo_val;iter_val;memo_cuts_preview;iter_cuts_preview
5;0.002833;0.019533;0.014900;24;24;24;[1,2,2];[1,2,2]
10;0.067567;0.025933;0.018233;50;50;50;[2,2,2,2,2];[2,2,2,2,2]
15;2.230733;0.042833;0.026333;75;75;75;[1,1,1,1,1,1,1,1,...];[1,1,1,1,1,1,1,1,...]
20;66.418300;0.062933;0.029233;100;100;100;[1,1,1,1,1,1,1,1,...];[1,1,1,1,1,1,1,1,...]
50;NA;0.103060;0.074220;NA;180;180;[];[]
100;NA;0.231680;0.143540;NA;800;800;[];[]
200;NA;0.758380;0.527600;NA;1000;1000;[];[]
400;NA;3.149940;1.823260;NA;2000;2000;[];[]
800;NA;13.121940;6.669280;NA;4800;4800;[];[]
1200;NA;26.393220;14.892420;NA;5400;5400;[];[]
